Time_sec,Temp_F,Temp_C,Temp_K
16.708,59.0087976539589,15.0048875855327,288.154887585533
16.864,58.1290322580645,14.5161290322581,287.666129032258
17.006,57.2492668621701,14.0273704789834,287.177370478983
17.16,57.2492668621701,14.0273704789834,287.177370478983
17.3,58.1290322580645,14.5161290322581,287.666129032258
17.441,56.3695014662757,13.5386119257087,286.688611925709
17.582,57.2492668621701,14.0273704789834,287.177370478983
17.738,57.2492668621701,14.0273704789834,287.177370478983
17.88,58.1290322580645,14.5161290322581,287.666129032258
18.051,59.8885630498534,15.4936461388074,288.643646138807
18.193,59.0087976539589,15.0048875855327,288.154887585533
18.349,59.8885630498534,15.4936461388074,288.643646138807
18.489,59.0087976539589,15.0048875855327,288.154887585533
18.648,59.8885630498534,15.4936461388074,288.643646138807
